date,total_net,IB_net,Fidelity_net,total_margin,IB_margin,Fidelity_margin,gross,IB_gross,Fidelity_gross,stocks,IB_stocks,Fidelity_stocks,bonds,IB_bonds,Fidelity_bonds,stuff,IB_stuff,Fidelity_stuff,total_leverage,IB_leverage,Fidelity_leverage
08/07/13,7409543,5002282,2407261,-12250887,-9488122,-2762765,19522790,14352764,5170025,10977095,6661769,4315325,4716242,3861542,854700,3829453,3829453,0,2.63,2.87,2.15
08/08/13,7410472,4996467,2414005,-12651098,-10360530,-2290568,20034135,15329562,4704573,9338537,5486564,3851973,6862175,6009575,852600,3833423,3833423,0,2.7,3.07,1.95
08/09/13,7581406,5107998,2473408,-12651086,-10360518,-2290568,20195065,15431089,4763976,9480998,5575222,3905776,6889369,6031169,858200,3824698,3824698,0,2.66,3.02,1.93
08/12/13,7663463,5192057,2471406,-12644925,-10354357,-2290568,20269623,15507649,4761974,9517770,5616796,3900974,6914329,6053329,861000,3837524,3837524,0,2.64,2.99,1.93
08/13/13,7577428,5118113,2459315,-12644926,-10354358,-2290568,20190699,15440816,4749883,9492530,5599272,3893258,6884439,6027814,856625,3813730,3813730,0,2.66,3.02,1.93
08/14/13,7459318,5036208,2423110,-13195196,-10879628,-2315568,20623533,15884855,4738678,9507887,5619359,3888528,7341378,6491228,850150,3774268,3774268,0,2.76,3.15,1.96
08/15/13,7451727,5042703,2409024,-13187733,-10872165,-2315568,20849599,16125007,4724592,9741026,5865534,3875492,7338899,6489799,849100,3769674,3769674,0,2.8,3.2,1.96
08/16/13,7313005,4938606,2374399,-13187729,-10872161,-2315568,20708571,16018604,4689967,9671253,5826536,3844717,7285655,6440405,845250,3751663,3751663,0,2.83,3.24,1.98
08/19/13,7232021,4870328,2361693,-13187729,-10872161,-2315568,20627003,15949742,4677261,9628525,5792664,3835861,7253062,6411662,841400,3745416,3745416,0,2.85,3.27,1.98
08/20/13,6962581,4702119,2260462,-13187729,-10872161,-2315568,20355801,15779771,4576030,9456574,5713544,3743030,7186268,6353268,833000,3712959,3712959,0,2.92,3.36,2.02
08/23/13,7007278,4702294,2304984,-10224882,-7907246,-2317636,17441075,12818455,4622620,8357830,4555260,3802570,5770352,4950302,820050,3312893,3312893,0,2.49,2.73,2.01
08/26/13,7230684,4822335,2408349,-9366646,-7049010,-2317636,16807708,12081723,4725985,8240454,4348869,3891585,5848533,5014133,834400,2718721,2718721,0,2.32,2.51,1.96
08/27/13,7158926,4780082,2378844,-9366645,-7049009,-2317636,16714733,12018253,4696480,8191753,4323373,3868380,5841541,5013441,828100,2681439,2681439,0,2.33,2.51,1.97
08/28/13,7006908,4676802,2330106,-9366646,-7049010,-2317636,16560258,11912516,4647742,8052520,4219928,3832592,5830367,5015217,815150,2677371,2677371,0,2.36,2.55,1.99
08/29/13,6988184,4669480,2318704,-9366647,-7049011,-2317636,16541560,11905220,4636340,8041427,4219187,3822240,5802547,4988447,814100,2697586,2697586,0,2.37,2.55,2.0
08/30/13,6976392,4662159,2314233,-9366648,-7049012,-2317636,16522553,11890684,4631869,8022818,4206099,3816719,5827549,5012399,815150,2672186,2672186,0,2.37,2.55,2.0
09/03/13,6891629,4633413,2258216,-9401646,-7049010,-2352636,16471770,11860918,4610852,7982444,4190242,3792202,5836448,5017798,818650,2652878,2652878,0,2.39,2.56,2.04
09/05/13,6951497,4669858,2281639,-9401644,-7049008,-2352636,16517736,11883461,4634275,8119551,4298326,3821225,5762597,4949547,813050,2635588,2635588,0,2.38,2.54,2.03
09/06/13,6952163,4647623,2304540,-9406590,-7053954,-2352636,16518031,11860855,4657176,8168709,4321433,3847276,5715905,4906005,809900,2633417,2633417,0,2.38,2.55,2.02
09/09/13,7066160,4696848,2369312,-9375612,-7026378,-2349234,16629896,11911350,4718546,8233122,4332876,3900246,5760248,4941948,818300,2636526,2636526,0,2.35,2.54,1.99
09/10/13,6958955,4786583,2172372,-9588920,-7009686,-2579234,16755769,12004163,4751606,8342580,4412424,3930156,5771641,4950191,821450,2641548,2641548,0,2.41,2.51,2.19
09/11/13,7022829,4853206,2169623,-9588919,-7009685,-2579234,16820593,12071736,4748857,8392358,4465651,3926707,5753677,4931527,822150,2674558,2674558,0,2.4,2.49,2.19
09/12/13,7118154,4903501,2214653,-9588916,-7009682,-2579234,16914927,12121040,4793887,8432600,4471363,3961237,5813810,4981160,832650,2668517,2668517,0,2.38,2.47,2.16
09/13/13,7054122,4861099,2193023,-9577916,-6998682,-2579234,16850420,12078163,4772257,8370015,4436358,3933657,5832234,4993634,838600,2648171,2648171,0,2.39,2.48,2.18
09/16/13,7166095,4866341,2299754,-9482229,-6992995,-2489234,16872986,12083998,4788988,8417130,4463942,3953188,5832524,4996724,835800,2623332,2623332,0,2.35,2.48,2.08
